token_str,uniq_users,count,first_day,last_day,time_delta
"#TRUMP, IT, IS, IMPORTANT, that, we, ALL, REGISTER, REPUBLICAN, do, not, trust, #gop, Donald, Trump",1,70,2015-11-22 23:31:20.932,2016-05-20 15:10:49.325,179 days 15:39:28.393000000
"#TheChalkening, #TeamTrump, #packersnation, #nurses, #Women, #VETS, #Vote, #Wisconsin, #Patriots, #OnlyTrump, #jobs, #Yuge, #GOP",1,69,2016-04-02 03:42:05.689,2016-04-02 03:55:35.281,0 days 00:13:29.592000000
"Have, you, heard, Donald, Trump, Your, President, #Trump2016, by, rickpoppe, on, #SoundCloud, #np",47,68,2016-06-24 08:41:52.711,2016-09-30 14:58:27.099,98 days 06:16:34.388000000
"70, Reasons, to, Vote, #Trump2016, !, The, Untruth, about, Donald, Trump, …",1,68,2016-04-24 04:38:01.076,2016-05-17 20:41:13.336,23 days 16:03:12.260000000
"#Clinton, Hillary, Clinton, To, Return, To, Kentucky, Before, Primary",1,67,2016-05-15 14:35:08.767,2016-05-15 23:50:26.388,0 days 09:15:17.621000000
"#Clinton, Gail, Collins, commentary, Hillary, Clinton, should, keep, husband, out, of, the, picture",1,67,2016-05-21 11:32:05.034,2016-05-21 23:56:46.441,0 days 12:24:41.407000000
"Donald, Trump, was, just, mentioned, during, MediaBuzz, on, FNCHD, read, more",1,66,2015-11-15 16:03:55.934,2016-03-27 21:58:32.237,133 days 05:54:36.303000000
"Donald, Trump, was, just, mentioned, during, Up, on, MSNBC, read, more",1,65,2015-12-12 13:00:32.632,2016-03-27 13:56:31.495,106 days 00:55:58.863000000
"#Clinton, Hillary, Clinton, regains, double-digit, lead, over, Donald, Trump, Poll",1,65,2016-06-25 05:43:27.403,2016-06-25 23:51:56.265,0 days 18:08:28.862000000
"Donald, Trump, was, just, mentioned, during, The, Last, Word, With, Lawrence, O'Donnell, on, MSNBC, read, more",1,63,2015-12-10 03:02:02.915,2015-12-18 06:56:51.316,8 days 03:54:48.401000000
"Donald, Trump, was, just, mentioned, during, MSNBC, Live, With, Kate, Snow, on, MSNBC, read, more",1,62,2015-11-19 20:27:14.555,2015-12-18 21:51:43.091,29 days 01:24:28.536000000
"#Clinton, Hillary, Clinton, campaign, tweets, nonsensical, Venn, diagram, Twitter, users, reply, with, mockery",1,61,2016-05-21 00:11:23.123,2016-05-21 15:41:07.385,0 days 15:29:44.262000000
"WATCH, LIVE, NOW, Trump, live, in, Wisconsin, #TeamTrump, #WisconsinPrimary, #supertuesday, #veterans",1,59,2016-04-02 20:30:45.995,2016-04-02 21:17:26.132,0 days 00:46:40.137000000
"Donald, Trump, was, just, mentioned, during, Hannity, on, FNCHD, #donaldtrump, #trump2016, read, more",1,58,2016-04-26 02:00:29.381,2016-04-30 04:00:07.168,4 days 01:59:37.787000000
