favorite_count,hash,retweet,retweet_count,screenName,text,timestamp,tokens,userID,token_str
0,7615899207036212256,1,0,Scrufey21,RT @gerfingerpoken: (IBD) Hillary Clinton Ignored Nigeria's Terrorist Group #BokoHaram - #IBDeditorials -  http://t.co/xJvXSenW39 - http://…,2015-08-01 00:53:41.934,"[(, IBD, ), Hillary, Clinton, Ignored, Nigeria's, Terrorist, Group, #BokoHaram, #IBDeditorials]",490179072,"(, IBD, ), Hillary, Clinton, Ignored, Nigeria's, Terrorist, Group, #BokoHaram, #IBDeditorials"
0,-8515696066343488101,1,0,Scrufey21,RT @AHMalcolm: Another Hillary Email Scandal: Bad Day For Clinton A Good Day For U.S. http://t.co/TkHxBSnBWr #IBDEditorials via @IBDinvesto…,2015-08-01 00:54:39.558,"[Another, Hillary, Email, Scandal, Bad, Day, For, Clinton, A, Good, Day, For, U.S., #IBDEditorials, via, …]",490179072,"Another, Hillary, Email, Scandal, Bad, Day, For, Clinton, A, Good, Day, For, U.S., #IBDEditorials, via, …"
0,1871933421396167455,0,0,Scrufey21,Clinton’s Planned Parenthood ties run deep http://t.co/idlucgeBzx via @POLITICO,2015-08-01 02:55:22.502,"[Clinton’s, Planned, Parenthood, ties, run, deep, via]",490179072,"Clinton’s, Planned, Parenthood, ties, run, deep, via"
0,-1668633410412133246,1,0,Scrufey21,RT @gerfingerpoken: (IBD) Hillary Clinton's Culture Of Corruption May Doom Candidacy... http://t.co/EVqwqqGVej - #IBDeditorials - http://t.…,2015-08-01 22:28:40.158,"[(, IBD, ), Hillary, Clinton's, Culture, Of, Corruption, May, Doom, Candidacy, #IBDeditorials]",490179072,"(, IBD, ), Hillary, Clinton's, Culture, Of, Corruption, May, Doom, Candidacy, #IBDeditorials"
0,-5024642404672056649,1,0,Scrufey21,RT @RedNationRising: Just can't get enough of #OhHillNo emails  - redaction exceeds 8 minutes of missing tape #RedNationRising http://t.co/…,2015-08-01 22:36:02.642,"[Just, can't, get, enough, of, #OhHillNo, emails, redaction, exceeds, 8, minutes, of, missing, tape, #RedNationRising, …]",490179072,"Just, can't, get, enough, of, #OhHillNo, emails, redaction, exceeds, 8, minutes, of, missing, tape, #RedNationRising, …"
0,8450580010364391688,1,0,Scrufey21,RT @JudicialWatch: ***BREAKING*** Judge Orders State Dept to Ask Hillary Clinton to Account for Government Records and Email Use: http://t.…,2015-08-01 22:42:50.439,"[***, BREAKING, ***, Judge, Orders, State, Dept, to, Ask, Hillary, Clinton, to, Account, for, Government, Records, Email, Use]",490179072,"***, BREAKING, ***, Judge, Orders, State, Dept, to, Ask, Hillary, Clinton, to, Account, for, Government, Records, Email, Use"
0,201663427233421229,1,0,Scrufey21,RT @gerfingerpoken: Margaret Sanger Fan Hillary Clinton Talks Race in Ferguson http://t.co/ZfBNAyascl  - American Thinker - - http://t.co/n…,2015-08-01 22:47:33.786,"[Margaret, Sanger, Fan, Hillary, Clinton, Talks, Race, in, Ferguson, American, Thinker, …]",490179072,"Margaret, Sanger, Fan, Hillary, Clinton, Talks, Race, in, Ferguson, American, Thinker, …"
0,-3896809589575849483,1,0,Scrufey21,"RT @mike_pence: IN knows conservative principles work every time you put them into practice. Hoosiers will elect Donald Trump, @HolcombForI…",2016-09-30 17:53:15.659,"[IN, knows, conservative, principles, work, every, time, you, put, them, into, practice, Hoosiers, will, elect, Donald, Trump, …]",490179072,"IN, knows, conservative, principles, work, every, time, you, put, them, into, practice, Hoosiers, will, elect, Donald, Trump, …"
0,-2829171406791293307,1,0,Scrufey21,"RT @MichaelCohen212: Honored to see my speech about @realDonaldTrump just posted by @radar_online 
https://t.co/VCdtqvODHL",2016-09-30 17:53:41.929,"[Honored, to, see, my, speech, about, just, posted, by]",490179072,"Honored, to, see, my, speech, about, just, posted, by"
0,8197536955468254170,1,0,Scrufey21,RT @Workers4Trump: Alicia Machado blames Donald Trump as the cause of her eating disorder. Kudos to Megyn for flushing out that lie https:/…,2016-09-30 17:54:17.614,"[Alicia, Machado, blames, Donald, Trump, as, the, cause, of, her, eating, disorder, Kudos, to, Megyn, for, flushing, out, that, lie, https, …]",490179072,"Alicia, Machado, blames, Donald, Trump, as, the, cause, of, her, eating, disorder, Kudos, to, Megyn, for, flushing, out, that, lie, https, …"
0,2558230215799082375,1,0,Scrufey21,"RT @immigrant4trump: .@brunelldonald Trump is saying, ‘America first.’ That is exactly why I am voting for him,“I’m a lifelong Democrat. ht…",2016-09-30 17:54:26.467,"[Trump, is, saying, ‘, America, first, ’, That, is, exactly, why, I, am, voting, for, him, “, I’m, a, lifelong, Democrat, ht, …]",490179072,"Trump, is, saying, ‘, America, first, ’, That, is, exactly, why, I, am, voting, for, him, “, I’m, a, lifelong, Democrat, ht, …"
0,-4527126082909496396,1,0,Scrufey21,RT @joelpollak: Plane speaking: Donald Trump is right: America’s airports are awful https://t.co/RY1hrMSq3Y via @TheEconomist,2016-09-30 17:57:49.183,"[Plane, speaking, Donald, Trump, is, right, America’s, airports, are, awful, via]",490179072,"Plane, speaking, Donald, Trump, is, right, America’s, airports, are, awful, via"
0,-6443069563259011491,1,0,Scrufey21,"RT @LindaSuhler: 🇺🇸Donald J Trump Rally TODAY #Michigan
💥Novi, MI
5 PM ET
#TrumpPence16🇺🇸 #Jobs #AmericaFirst #MAGA #Economy
https://t.co/2…",2016-09-30 17:59:28.106,"[🇺🇸Donald, J, Trump, Rally, TODAY, #Michigan, 💥Novi, MI, 5, PM, ET, #TrumpPence16, 🇺🇸, #Jobs, #AmericaFirst, #MAGA, #Economy, …]",490179072,"🇺🇸Donald, J, Trump, Rally, TODAY, #Michigan, 💥Novi, MI, 5, PM, ET, #TrumpPence16, 🇺🇸, #Jobs, #AmericaFirst, #MAGA, #Economy, …"
0,-7262666552368123667,1,0,Scrufey21,RT @asamjulian: Trump nation needs to flood social media with Bill’s sexual assault victims and Hillary’s enabling him. https://t.co/wpCciK…,2016-09-30 18:01:45.261,"[Trump, nation, needs, to, flood, social, media, with, Bill’s, sexual, assault, victims, Hillary’s, enabling, him, …]",490179072,"Trump, nation, needs, to, flood, social, media, with, Bill’s, sexual, assault, victims, Hillary’s, enabling, him, …"
0,-340952240286325336,1,0,Scrufey21,RT @Samstwitch: The UN is part of the NWO and it's railing against Donald Trump! Trump is fighting the NWO Globalist who've hijacked Americ…,2016-09-30 18:08:16.598,"[The, UN, is, part, of, the, NWO, it's, railing, against, Donald, Trump, !, Trump, is, fighting, the, NWO, Globalist, who've, hijacked, Americ, …]",490179072,"The, UN, is, part, of, the, NWO, it's, railing, against, Donald, Trump, !, Trump, is, fighting, the, NWO, Globalist, who've, hijacked, Americ, …"
0,7718424160089454310,1,0,Scrufey21,RT @Samstwitch: .@USATODAY is gonna lose it's readership over putting down Donald Trump! Americans don't want your Bullshit Propaganda! htt…,2016-09-30 18:09:52.797,"[is, gonna, lose, it's, readership, over, putting, down, Donald, Trump, !, Americans, don't, want, your, Bullshit, Propaganda, !, htt, …]",490179072,"is, gonna, lose, it's, readership, over, putting, down, Donald, Trump, !, Americans, don't, want, your, Bullshit, Propaganda, !, htt, …"
